p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa,added,fibres,fdure,souple,fragments
Vidy,VD_Vid_5,ligne-d'eau,1,1.0,9.0,0.0,21.0,4.0,1.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,36.0,13.0,2.0,15.0
Vidy,VD_Vid_6,ligne-d'eau,1,3.0,12.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,1.0,0.0,1.0
Lutry,VD_Lut_1,ligne-d'eau,4,31.0,24.0,0.0,49.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,0.0,0.0
Lutry,VD_Lut_2,ligne-d'eau,4,9.0,10.0,0.0,33.0,9.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,61.0,7.0,1.0,8.0
Lutry,VD_Lut_3,ligne-d'eau,4,2.0,13.0,0.0,37.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,72.0,68.0,2.0,2.0,4.0
Lutry,VD_Lut_4,ligne-d'eau,4,3.0,6.0,0.0,25.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,2.0,0.0,2.0
Cully,VD_Cul_1,ligne-d'eau,3,9.0,28.0,1.0,48.0,29.0,2.0,2.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,117.0,11.0,0.0,11.0
Pichette,VD_Pic_1,ligne-d'eau,3,5.0,3.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,2.0,0.0,2.0
Pichette,VD_Pic_2,ligne-d'eau,3,35.0,19.0,0.0,36.0,17.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,107.0,6.0,0.0,6.0
Pichette,VD_Pic_3,ligne-d'eau,3,8.0,9.0,0.0,33.0,25.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,75.0,8.0,0.0,8.0
Clarens,VD_Cls_1,ligne-d'eau,4,6.0,10.0,1.0,17.0,10.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,44.0,7.0,1.0,8.0
Clarens,VD_Cls_2,ligne-d'eau,4,5.0,13.0,0.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,89.0,84.0,3.0,2.0,5.0
Clarens,VD_Cls_3,ligne-d'eau,4,1.0,16.0,0.0,18.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,42.0,7.0,0.0,7.0
Clarens,VD_Cls_4,ligne-d'eau,4,2.0,4.0,1.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,2.0,0.0,2.0
Grangettes,VD_Grs_3,ligne-d'eau,1,1.0,16.0,1.0,53.0,17.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,89.0,10.0,0.0,10.0
Bouveret,VS_Bou_1,ligne-d'eau,1,4.0,10.0,0.0,37.0,17.0,0.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,68.0,14.0,0.0,14.0
Bouveret,VS_Bou_2,ligne-d'eau,1,6.0,16.0,2.0,63.0,13.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,100.0,9.0,0.0,9.0
Bouveret,VS_Bou_3,ligne-d'eau,1,3.0,8.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,1.0,0.0,1.0
Bouveret,VS_Bou_4,ligne-d'eau,1,4.0,8.0,0.0,17.0,8.0,0.0,8.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,37.0,18.0,2.0,20.0
Bouveret,VS_Bou_5,ligne-d'eau,1,4.0,38.0,0.0,110.0,45.0,2.0,41.0,2.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,199.0,59.0,0.0,59.0
Bouveret,VS_Bou_6,ligne-d'eau,1,2.0,4.0,2.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0
Bouveret,VS_Bou_7,ligne-d'eau,1,2.0,8.0,1.0,31.0,11.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,53.0,5.0,0.0,5.0
Tougues,74_Tou_5,ligne-d'eau,2,1.0,10.0,0.0,26.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,43.0,8.0,0.0,8.0
