place,événement,zone,substrat,matériel,y,région
Vidy,VD_Vid_2,ligne-d'eau,Sables fin,fdure,10.0,grand-lac
Vidy,VD_Vid_3,ligne-d'eau,Sables fin,fdure,1.0,grand-lac
Vidy,VD_Vid_4,ligne-d'eau,Sables fin,fdure,2.0,grand-lac
Vidy,VD_Vid_5,ligne-d'eau,Sables fin,fdure,13.0,grand-lac
Vidy,VD_Vid_6,ligne-d'eau,Sables fin,fdure,1.0,grand-lac
Lutry,VD_Lut_1,ligne-d'eau,Galets,fdure,0.0,grand-lac
Lutry,VD_Lut_2,ligne-d'eau,Galets,fdure,7.0,grand-lac
Lutry,VD_Lut_3,ligne-d'eau,Galets,fdure,2.0,grand-lac
Lutry,VD_Lut_4,ligne-d'eau,Galets,fdure,2.0,grand-lac
Cully,VD_Cul_1,ligne-d'eau,Graviers,fdure,11.0,grand-lac
Pichette,VD_Pic_1,ligne-d'eau,Graviers,fdure,2.0,haut-lac
Pichette,VD_Pic_2,ligne-d'eau,Graviers,fdure,6.0,haut-lac
Pichette,VD_Pic_3,ligne-d'eau,Graviers,fdure,8.0,haut-lac
Clarens,VD_Cls_1,ligne-d'eau,Galets,fdure,7.0,haut-lac
Clarens,VD_Cls_2,ligne-d'eau,Galets,fdure,3.0,haut-lac
Clarens,VD_Cls_3,ligne-d'eau,Galets,fdure,7.0,haut-lac
Clarens,VD_Cls_4,ligne-d'eau,Galets,fdure,2.0,haut-lac
Grangettes,VD_Grs_3,ligne-d'eau,Sables fin,fdure,10.0,haut-lac
Bouveret,VS_Bou_1,ligne-d'eau,Sables fin,fdure,14.0,haut-lac
Bouveret,VS_Bou_2,ligne-d'eau,Sables fin,fdure,9.0,haut-lac
Bouveret,VS_Bou_3,ligne-d'eau,Sables fin,fdure,1.0,haut-lac
Bouveret,VS_Bou_4,ligne-d'eau,Sables fin,fdure,18.0,haut-lac
Bouveret,VS_Bou_5,ligne-d'eau,Sables fin,fdure,59.0,haut-lac
Bouveret,VS_Bou_6,ligne-d'eau,Sables fin,fdure,0.0,haut-lac
Bouveret,VS_Bou_7,ligne-d'eau,Sables fin,fdure,5.0,haut-lac
Tougues,74_Tou_5,ligne-d'eau,Sables grossiers,fdure,8.0,haut-lac
Amphion,74_Amp_1,ligne-d'eau,Galets,fdure,0.0,grand-lac
Amphion,74_Amp_2,ligne-d'eau,Galets,fdure,3.0,grand-lac
Amphion,74_Amp_3,ligne-d'eau,Galets,fdure,0.0,grand-lac
Amphion,74_Amp_4,ligne-d'eau,Galets,fdure,2.0,grand-lac
Anthy,74_Ant_1,ligne-d'eau,Galets,fdure,5.0,grand-lac
Anthy,74_Ant_2,ligne-d'eau,Galets,fdure,8.0,grand-lac
Anthy,74_Ant_3,ligne-d'eau,Galets,fdure,9.0,grand-lac
Excenevex,74_Exc_1,ligne-d'eau,Sables fin,fdure,13.0,grand-lac
Excenevex,74_Exc_2,ligne-d'eau,Sables fin,fdure,0.0,grand-lac
Excenevex,74_Exc_3,ligne-d'eau,Sables fin,fdure,11.0,grand-lac
Excenevex,74_Exc_4,ligne-d'eau,Sables fin,fdure,3.0,grand-lac
Excenevex,74_Exc_5,ligne-d'eau,Sables fin,fdure,1.0,grand-lac
Excenevex,74_Exc_6,ligne-d'eau,Sables fin,fdure,3.0,grand-lac
Excenevex,74_Exc_7,ligne-d'eau,Sables fin,fdure,0.0,grand-lac
Excenevex,74_Exc_8,ligne-d'eau,Sables fin,fdure,0.0,grand-lac
Lugrin,74_Lug_1,ligne-d'eau,Galets,fdure,12.0,haut-lac
Lugrin,74_Lug_2,ligne-d'eau,Galets,fdure,3.0,haut-lac
Lugrin,74_Lug_3,ligne-d'eau,Galets,fdure,1.0,haut-lac
Meillerie,74_Mei_1,ligne-d'eau,Sables grossiers,fdure,26.0,haut-lac
Saint-Disdille,74_StD_1,ligne-d'eau,Galets,fdure,15.0,grand-lac
Saint-Disdille,74_StD_2,ligne-d'eau,Galets,fdure,14.0,grand-lac
Saint-Disdille,74_StD_3,ligne-d'eau,Galets,fdure,43.0,grand-lac
Saint-Disdille,74_StD_4,ligne-d'eau,Galets,fdure,8.0,grand-lac
Saint-Disdille,74_StD_5,ligne-d'eau,Galets,fdure,1.0,grand-lac
Saint-Disdille,74_StD_6,ligne-d'eau,Galets,fdure,40.0,grand-lac
Tougues,74_Tou_1,ligne-d'eau,Sables grossiers,fdure,3.0,haut-lac
Tougues,74_Tou_2,ligne-d'eau,Sables grossiers,fdure,3.0,haut-lac
Tougues,74_Tou_3,ligne-d'eau,Sables grossiers,fdure,6.0,haut-lac
Tougues,74_Tou_4,ligne-d'eau,Sables grossiers,fdure,2.0,haut-lac
Tougues,74_Tou_6,ligne-d'eau,Sables grossiers,fdure,6.0,haut-lac
Port Choiseul,GE_Por_1,ligne-d'eau,Graviers,fdure,2.0,petit-lac
Port Choiseul,GE_Por_2,ligne-d'eau,Graviers,fdure,1.0,petit-lac
Port Choiseul,GE_Por_3,ligne-d'eau,Graviers,fdure,10.0,petit-lac
Port Choiseul,GE_Por_4,ligne-d'eau,Graviers,fdure,3.0,petit-lac
Port Choiseul,GE_Por_5,ligne-d'eau,Graviers,fdure,0.0,petit-lac
Port Choiseul,GE_Por_6,ligne-d'eau,Graviers,fdure,1.0,petit-lac
Grangettes,VD_Grs_1,ligne-d'eau,Sables fin,fdure,14.0,haut-lac
Grangettes,VD_Grs_2,ligne-d'eau,Sables fin,fdure,10.0,haut-lac
Grangettes,VD_Grs_4,ligne-d'eau,Sables fin,fdure,6.0,haut-lac
Préverenges,VD_Pré_2,ligne-d'eau,Sables fin,fdure,40.0,grand-lac
Hermance,GE_Her_1,ligne-d'eau,Graviers,souple,0.0,petit-lac
