Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Baby Plage;384;200;2;1;22.01.2022;1;Clé USB;G216;;;1;0,0082;0,002604167;8,2;8,2
Baby Plage;112;60;1;1;23.04.2022;2;Bouchons en plastiques agglomérés de bouteille de vin;G23;15;PL01;1;0,001;0,008928571;1;
Baby Plage;112;60;1;1;22.01.2022;1;Couvercle en plastique non-identifié;G23;15;PL01;1;0,007;0,008928571;7;
Baby Plage;384;200;2;1;22.01.2022;1;Couvercle en plastique non-identifié;G23;15;PL01;2;0,014;0,005208333;7;
Baby Plage;112;60;1;1;23.04.2022;2;Couvercle en plastique non-identifié;G23;15;PL01;1;0,007;0,008928571;7;
Baby Plage;112;60;1;1;02.09.2022;3;Couvercle en plastique non-identifié;G23;15;PL01;1;0,007;0,008928571;7;
Baby Plage;112;60;1;1;22.01.2022;1;Anneau plastique bouteille;G24;15;PL01;1;0,0001;0,008928571;0,1;
Baby Plage;384;200;2;1;23.04.2022;2;Anneau plastique bouteille;G24;15;PL01;3;0,0003;0,0078125;0,1;
Baby Plage;384;200;2;1;02.09.2022;3;Anneau plastique bouteille;G24;15;PL01;1;0,0001;0,002604167;0,1;
Baby Plage;112;60;1;1;22.01.2022;1;Briquet;G26;16;PL10;1;0,012;0,008928571;12;
Baby Plage;384;200;2;1;22.01.2022;1;Briquet;G26;16;PL10;1;0,012;0,002604167;12;
Baby Plage;384;200;2;1;15.10.2022;4;Mégot de cigare;G27;64;PL11;28;0,0182;0,072916667;0,65;
Baby Plage;112;60;1;1;22.01.2022;1;Mégot de cigarette;G27;64;PL11;2;0,00044;0,017857143;0,22;
Baby Plage;384;200;2;1;22.01.2022;1;Mégot de cigarette;G27;64;PL11;14;0,00308;0,036458333;0,22;
Baby Plage;112;60;1;1;23.04.2022;2;Mégot de cigarette;G27;64;PL11;4;0,00088;0,035714286;0,22;
Baby Plage;384;200;2;1;23.04.2022;2;Mégot de cigarette;G27;64;PL11;24;0,00528;0,0625;0,22;
Baby Plage;112;60;1;1;02.09.2022;3;Mégot de cigarette;G27;64;PL11;14;0,00308;0,125;0,22;
Baby Plage;384;200;2;1;02.09.2022;3;Mégot de cigarette;G27;64;PL11;140;0,0308;0,364583333;0,22;
Baby Plage;112;60;1;1;15.10.2022;4;Mégot de cigarette;G27;64;PL11;2;0,00044;0,017857143;0,22;
