location,loc_date,Orientation,latitude,longitude,position,substrate,area,time,length
Vidy,VD_Vid_10,S,46.51136667,6.610483333,2,1,413,210,71
Vidy,VD_Vid_11,SO,46.51131667,6.6109,2,1,413,210,71
Vidy,VD_Vid_12,SO,46.51135,6.6108,2,1,413,210,71
Vidy,VD_Vid_13,S,46.51138333,6.610533333,2,1,413,210,71
Vidy,VD_Vid_2,SO,46.51126667,6.610783333,1,1,91,45,71
Vidy,VD_Vid_3,SO,46.51131667,6.61065,1,1,91,45,71
Vidy,VD_Vid_4,S,46.51133333,6.6106,1,1,91,45,71
Vidy,VD_Vid_5,S,46.51133333,6.610416667,1,1,91,45,71
Vidy,VD_Vid_6,SSE,46.51131667,6.611033333,1,1,91,45,71
Vidy,VD_Vid_7,SO,46.51125,6.610916667,2,1,413,210,71
Vidy,VD_Vid_8,SO,46.51131667,6.610833333,2,1,413,210,71
Vidy,VD_Vid_9,SO,46.51133333,6.610683333,2,1,413,210,71
Bouveret,VS_Bou_1,ONO,46.389,6.859816667,1,1,99,50,116
Bouveret,VS_Bou_10,O,46.3892,6.85995,2,1,438,220,116
Bouveret,VS_Bou_11,O,46.3893,6.859933333,2,1,438,220,116
Bouveret,VS_Bou_12,O,46.3892,6.859966667,2,1,438,220,116
Bouveret,VS_Bou_2,ONO,46.3891,6.859833333,1,1,99,50,116
Bouveret,VS_Bou_3,O,46.38915,6.85985,1,1,99,50,116
Bouveret,VS_Bou_4,O,46.3892,6.859866667,1,1,99,50,116
Bouveret,VS_Bou_5,O,46.38931667,6.859866667,1,1,99,50,116
Bouveret,VS_Bou_6,OSO,46.3894,6.859866667,1,1,99,50,116
Bouveret,VS_Bou_7,OSO,46.38951667,6.859816667,1,1,99,50,116
Bouveret,VS_Bou_8,ONO,46.38901667,6.859833333,2,1,438,220,116
Bouveret,VS_Bou_9,ONO,46.3891,6.859883333,2,1,438,220,116
