;;;;;;;;;;;FIBRE;;;;;;FRAGMENT DUR;;;;;;FRAGMENT SOUPLE;;;;;
Plage;"Fréquentation (1=Faible; 2=moyenne; 3= élevée)";"Situation (1 = campagne; 2 =urbain)";"Distance parking (1=<100m; 2=100-500m; 3=500-1000m; 4=<1000m)";Echantillon;Coordonnée x;Coordonnée y;Orientation;Orientation moyenne;"Position de l'échantillon
1 = Ligne d'eau
2 = reste de la plage";"Substrat (1 = Sable fin; 2 = Sable grossier; 3 = Gravier; 4 = Galet )";Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre
Clarens;3;2;1;VD_Cls_7;46,4395;6,88945;SSO;202,5;2;2;;;;;;;;;;;;;;;;;;
Crans;1;1;3;VD_Cra_1;46,35538333;6,214033333;SSE;157,5;1;2;3;4;0;0;10;0;1;1;0;0;0;0;0;0;0;0;0;0
Cully;1;1;1;VD_Cul_1;46,48895;6,7414;SO;225;1;3;9;28;1;48;29;2;2;1;0;5;3;0;0;0;0;0;0;0
Cully;1;1;1;VD_Cul_2;46,48896667;6,741433333;SO;225;2;3;;;;;;;;;;;;;;;;;;
Gland;2;1;1;VD_Gld_1;46,4188;6,290033333;E;90;1;2;4;2;0;6;13;1;1;1;2;0;4;0;1;2;1;2;0;0
Grangettes;2;1;2;VD_Grs_1;46,39621667;6,886716667;NO;315;1;1;6;12;0;114;49;0;1;0;1;3;9;0;0;0;2;490;10;0
Grangettes;2;1;2;VD_Grs_2;46,39626667;6,8868;NO;315;1;1;9;11;0;76;16;0;1;1;0;5;2;1;0;3;2;141;20;0
Grangettes;2;1;2;VD_Grs_3;46,39631667;6,88685;NO;315;1;1;1;16;1;53;17;1;0;2;0;4;0;4;0;0;0;0;0;0
Grangettes;2;1;2;VD_Grs_4;46,39636667;6,886933333;NO;315;1;1;13;17;0;202;37;4;0;1;2;3;0;0;1;1;1;288;24;1
Grangettes;2;1;2;VD_Grs_5;46,39625;6,886766667;NO;315;2;1;;;;;;;;;;;;;;;;;;
Grangettes;2;1;2;VD_Grs_6;46,39628333;6,886833333;NO;315;2;1;;;;;;;;;;;;;;;;;;
Grangettes;2;1;2;VD_Grs_7;46,39631667;6,886933333;NO;315;2;1;;;;;;;;;;;;;;;;;;
Lutry;3;2;2;VD_Lut_1;46,49995;6,69245;SSE;140,625;1;4;31;24;0;49;20;2;0;0;0;0;0;0;0;0;0;0;0;0
Lutry;3;2;2;VD_Lut_2;46,49988333;6,692283333;SE;140,625;1;4;9;10;0;33;9;0;0;1;0;5;1;0;0;0;0;1;0;0
Lutry;3;2;2;VD_Lut_3;46,49976667;6,69215;SE;140,625;1;4;2;13;0;37;16;0;1;0;0;1;0;0;0;0;0;2;0;0
Lutry;3;2;2;VD_Lut_4;46,4997;6,692066667;SE;140,625;1;4;3;6;;25;5;;;1;;1;;;;;;;;
Lutry;3;2;2;VD_Lut_5;46,49991667;6,692366667;SSE;140,625;2;2;;;;;;;;;;;;;;;;;;
Lutry;3;2;2;VD_Lut_6;46,49986667;6,692266667;SE;140,625;2;2;;;;;;;;;;;;;;;;;;
Lutry;3;2;2;VD_Lut_7;46,49981667;6,692183333;SE;140,625;2;2;;;;;;;;;;;;;;;;;;
Lutry;3;2;2;VD_Lut_8;46,49976667;6,692066667;SE;140,625;2;2;;;;;;;;;;;;;;;;;;
Pichette;2;1;1;VD_Pic_1;46,46991667;6,815783333;SSE;165;1;3;5;3;;1;6;3;1;1;;;;;;;;;;
Pichette;2;1;1;VD_Pic_2;46,46988333;6,815566667;S;165;1;3;35;19;0;36;17;0;1;0;0;3;1;1;0;0;0;0;0;0
Pichette;2;1;1;VD_Pic_3;46,4699;6,815483333;SSE;165;1;3;8;9;0;33;25;0;0;3;0;2;2;1;0;0;0;0;0;0
Pichette;2;1;1;VD_Pic_4;46,46991667;6,815716667;SSE;165;2;3;;;;;;;;;;;;;;;;;;
Pichette;2;1;1;VD_Pic_5;46,46993333;6,815633333;SSE;165;2;3;;;;;;;;;;;;;;;;;;
Pichette;2;1;1;VD_Pic_6;46,46991667;6,81555;S;165;2;3;;;;;;;;;;;;;;;;;;
Préverenges;3;1;2;VD_Pré_1;46,51141667;6,529916667;SO;225;1;1;12;22;2;121;22;0;3;2;0;9;1;1;0;0;0;3;0;0
Préverenges;3;1;2;VD_Pré_10;46,51215;6,528616667;SO;225;1;1;5;8;1;22;17;0;4;3;2;1;29;1;0;0;0;2;0;0
Préverenges;3;1;2;VD_Pré_11;46,51146667;6,529983333;SO;225;2;1;11;33;3;133;41;3;1;4;1;12;4;1;0;0;2;4;0;0
Préverenges;3;1;2;VD_Pré_12;46,5115;6,5299;SO;225;2;1;9;23;1;71;19;1;1;1;0;5;6;0;0;0;0;0;1;1
Préverenges;3;1;2;VD_Pré_13;46,51163333;6,529733333;SO;225;2;1;;;;;;;;;;;;;;;;;;
Préverenges;3;1;2;VD_Pré_14;46,51178333;6,52945;SO;225;2;1;15;42;0;123;27;1;1;1;2;16;6;0;0;0;2;6;0;0
Préverenges;3;1;2;VD_Pré_15;46,51198333;6,529066667;SO;225;2;1;;;;;;;;;;;;;;;;;;
Préverenges;3;1;2;VD_Pré_16;46,51286833;6,52895;SO;225;2;1;4;29;0;43;17;1;0;2;0;10;1;1;0;0;0;6;0;0
Préverenges;3;1;2;VD_Pré_17;46,51208333;6,528816667;SO;225;2;1;9;22;4;60;34;1;1;3;1;12;3;1;0;0;0;4;2;0
Préverenges;3;1;2;VD_Pré_18;46,51213333;6,528683333;SO;225;2;1;;;;;;;;;;;;;;;;;;
Préverenges;3;1;2;VD_Pré_19;46,51156667;6,529966667;SO;225;2;1;17;16;0;62;23;2;4;1;1;11;0;1;0;0;0;4;0;0
Préverenges;3;1;2;VD_Pré_2;46,51146667;6,5299;SO;225;1;1;12;20;3;160;43;2;9;14;7;4;2;4;8;14;3;552;18;9
Préverenges;3;1;2;VD_Pré_20;46,51158333;6,52985;SO;225;2;1;9;22;2;65;22;1;3;3;2;16;3;2;0;0;0;6;1;0
Préverenges;3;1;2;VD_Pré_21;46,5117;6,52965;SO;225;2;1;9;36;4;118;39;0;21;39;3;14;4;4;0;1;1;9;0;0
Préverenges;3;1;2;VD_Pré_22;46,51193333;6,529266667;SO;225;2;1;;;;;;;;;;;;;;;;;;
Préverenges;3;1;2;VD_Pré_23;46,51206667;6,52895;SO;225;2;1;;;;;;;;;;;;;;;;;;
Préverenges;3;1;2;VD_Pré_24;46,51215;6,528783333;SO;225;2;1;;;;;;;;;;;;;;;;;;
