location,date,area,length,project,doy,quantity,code,loc_date,pcs/m,pcs/m²,slug,Project,city
aubonne,2022-02-06,340.0,50.0,plastock,37,1,G103,"('aubonne', '2022-02-06')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,5,G106,"('aubonne', '2022-02-06')",0.1,0.0147058823529411,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,2,G113,"('aubonne', '2022-02-06')",0.04,0.0058823529411764,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,1,G117,"('aubonne', '2022-02-06')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,1,G132,"('aubonne', '2022-02-06')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,4,G145,"('aubonne', '2022-02-06')",0.08,0.0117647058823529,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,5,G27,"('aubonne', '2022-02-06')",0.1,0.0147058823529411,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,5,G30,"('aubonne', '2022-02-06')",0.1,0.0147058823529411,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,4,G34,"('aubonne', '2022-02-06')",0.08,0.0117647058823529,aubonne,Testing,Aubonne
aubonne,2022-02-06,340.0,50.0,plastock,37,3,G74,"('aubonne', '2022-02-06')",0.06,0.0088235294117647,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,1,G103,"('aubonne', '2022-09-10')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,1,G106,"('aubonne', '2022-09-10')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,2,G113,"('aubonne', '2022-09-10')",0.04,0.0058823529411764,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,6,G117,"('aubonne', '2022-09-10')",0.12,0.0176470588235294,aubonne,Testing,Aubonne
aubonne,2022-09-10,340.0,50.0,plastock,253,3,G145,"('aubonne', '2022-09-10')",0.06,0.0088235294117647,aubonne,Testing,Aubonne
