Plage,échantillon,orientation,position,substrat,fréquentation,situation,distance,objet,compte
Hermance,GE_Her_6,OSO,2,3,3,2,2,souple,12.0
Hermance,GE_Her_7,OSO,2,3,3,2,2,fdure,12.0
Hermance,GE_Her_7,OSO,2,3,3,2,2,fibres,257.0
Hermance,GE_Her_7,OSO,2,3,3,2,2,souple,23.0
Hermance,GE_Her_8,OSO,2,3,3,2,2,fdure,3.0
Hermance,GE_Her_8,OSO,2,3,3,2,2,fibres,45.0
Hermance,GE_Her_8,OSO,2,3,3,2,2,souple,9.0
Hermance,GE_Her_9,OSO,2,3,3,2,2,fdure,6.0
Hermance,GE_Her_9,OSO,2,3,3,2,2,fibres,437.0
Hermance,GE_Her_9,OSO,2,3,3,2,2,souple,20.0
Lugrin,74_Lug_1,NNE,1,4,2,1,2,fdure,12.0
Lugrin,74_Lug_1,NNE,1,4,2,1,2,fibres,110.0
Lugrin,74_Lug_1,NNE,1,4,2,1,2,souple,4.0
Lugrin,74_Lug_2,N,1,4,2,1,2,fdure,3.0
Lugrin,74_Lug_2,N,1,4,2,1,2,fibres,126.0
Lugrin,74_Lug_2,N,1,4,2,1,2,souple,6.0
Lugrin,74_Lug_3,NNO,1,4,2,1,2,fdure,1.0
Lugrin,74_Lug_3,NNO,1,4,2,1,2,fibres,66.0
Lugrin,74_Lug_3,NNO,1,4,2,1,2,souple,5.0
Lugrin,74_Lug_4,N,2,4,2,1,2,fdure,3.0
Lugrin,74_Lug_4,N,2,4,2,1,2,fibres,54.0
Lugrin,74_Lug_4,N,2,4,2,1,2,souple,25.0
Lugrin,74_Lug_5,N,2,4,2,1,2,fdure,31.0
Lugrin,74_Lug_5,N,2,4,2,1,2,fibres,567.0
Lugrin,74_Lug_5,N,2,4,2,1,2,souple,113.0
Lutry,VD_Lut_1,SSE,1,4,3,2,2,fdure,0.0
Lutry,VD_Lut_1,SSE,1,4,3,2,2,fibres,126.0
Lutry,VD_Lut_1,SSE,1,4,3,2,2,souple,0.0
Lutry,VD_Lut_2,SE,1,4,3,2,2,fdure,7.0
Lutry,VD_Lut_2,SE,1,4,3,2,2,fibres,61.0
Lutry,VD_Lut_2,SE,1,4,3,2,2,souple,1.0
Lutry,VD_Lut_3,SE,1,4,3,2,2,fdure,2.0
Lutry,VD_Lut_3,SE,1,4,3,2,2,fibres,68.0
Lutry,VD_Lut_3,SE,1,4,3,2,2,souple,2.0
Lutry,VD_Lut_4,SE,1,4,3,2,2,fdure,2.0
Lutry,VD_Lut_4,SE,1,4,3,2,2,fibres,39.0
